"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Навигация по логотипам","2","0","","0"
"0","","0","Форма заказа самоката","4","0","","0"
"0","","0","Раздел FAQ на главной странице","8","0","","0"
